Games,Win Rate,KDA,Avg Kills,Avg Deaths,Avg Assists,CSM,GPM,KP%,DMG%,DPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB%,FB Victim,Solo Kills
25.0,0.32,2,2.4,3.2,3.8,7.9,384,0.602,0.222,374,0.36,0.08,0.1,-154,-8,-311,0.4,0.16,7
11.0,0.636,2.7,2.0,2.6,5.0,7.6,379,0.624,0.22,373,0.33,0.12,0.09,287,5,180,0.091,0.364,3
12.0,0.25,2,2.8,3.3,3.8,6.7,339,0.622,0.254,462,0.31,0.06,0.05,-229,2,-52,0.083,0.25,5
57.0,0.772,4.2,2.9,2.1,6.2,8.2,414,0.59,0.237,490,0.43,0.21,0.18,598,10,411,0.281,0.228,22
21.0,0.28600000000000003,1.5,2.4,3.6,3.1,6.6,340,0.5820000000000001,0.231,411,0.46,0.14,0.17,-254,-10,-408,0.14300000000000002,0.28600000000000003,10
12.0,0.41700000000000004,2.6,2.4,3.1,5.5,7.8,361,0.68,0.261,398,0.56,0.21,0.26,-314,-7,-92,0.16699999999999998,0.41700000000000004,2
38.0,0.526,5.3,2.7,1.6,5.9,7.2,354,0.608,0.171,296,0.47,0.15,0.18,-263,-6,20,0.263,0.132,3
40.0,0.55,3,2.5,2.3,4.5,8.3,391,0.537,0.21,379,0.42,0.13,0.16,294,6,225,0.2,0.1,15
34.0,0.441,2.4,3.7,3.3,4.3,7.4,374,0.604,0.251,431,0.38,0.16,0.16,-381,-7,-216,0.11800000000000001,0.11800000000000001,19
29.0,0.138,1.7,2.2,3.1,3.1,7.6,357,0.596,0.247,372,0.4,0.1,0.09,-159,-2,-288,0.207,0.069,7
24.0,0.292,2,2.0,3.0,4.1,6.9,338,0.493,0.203,327,0.41,0.18,0.13,-450,-12,-292,0.083,0.16699999999999998,8
39.0,0.436,2.5,2.5,2.7,4.2,8.3,393,0.579,0.259,465,0.48,0.16,0.17,346,9,255,0.179,0.128,7
96.0,0.51,2.9,2.3,2.8,5.7,7.5,367,0.557,0.195,364,0.39,0.25,0.24,-315,-9,-283,0.073,0.052000000000000005,5
14.0,0.28600000000000003,1.8,2.5,3.7,4.2,7.0,355,0.524,0.228,418,0.42,0.07,0.16,-622,-10,-355,0.071,0.071,6
18.0,0.111,1.2,1.4,4.5,3.8,6.1,302,0.578,0.209,330,0.39,0.13,0.15,-741,-17,-495,0.16699999999999998,0.278,3
47.0,0.511,2.8,2.0,2.8,5.9,6.9,341,0.605,0.192,336,0.42,0.18,0.15,-284,-6,-143,0.17,0.021,7
44.0,0.364,2.2,2.8,2.9,3.7,8.3,389,0.498,0.22699999999999998,384,0.37,0.2,0.16,47,17,289,0.023,0.023,1
38.0,0.5529999999999999,2.6,2.3,2.7,4.8,7.6,371,0.478,0.204,354,0.38,0.17,0.16,-4,-2,148,0.158,0.132,17
31.0,0.484,2.5,3.4,3.1,4.4,7.7,380,0.593,0.233,459,0.42,0.15,0.14,166,3,179,0.355,0.161,13
28.0,0.35700000000000004,1.4,2.1,3.7,3.2,7.9,372,0.499,0.27699999999999997,455,0.47,0.17,0.16,-258,1,-238,0.179,0.179,8
115.0,0.6779999999999999,3.3,3.3,2.6,5.2,8.8,429,0.602,0.273,539,0.4,0.23,0.14,621,8,238,0.278,0.226,45
10.0,0.3,2.9,1.6,2.3,5.1,7.0,336,0.457,0.19399999999999998,347,0.45,0.11,0.18,-646,-16,-132,0.2,0.1,3
22.0,0.5,2.3,2.2,3.4,5.4,6.9,350,0.531,0.203,363,0.44,0.18,0.14,-147,0,107,0.182,0.22699999999999998,4
43.0,0.419,3.2,2.1,2.3,5.3,7.7,368,0.593,0.21600000000000003,392,0.41,0.18,0.13,86,5,-22,0.27899999999999997,0.163,9
32.0,0.563,2.5,3.4,3.0,4.1,7.4,382,0.602,0.22699999999999998,410,0.34,0.13,0.11,204,9,-26,0.25,0.094,16
73.0,0.493,2.9,2.2,2.7,5.6,7.5,372,0.583,0.19899999999999998,379,0.42,0.14,0.18,-167,-3,-38,0.192,0.13699999999999998,20
78.0,0.513,2.3,2.4,2.8,4.1,7.9,386,0.551,0.239,448,0.55,0.16,0.27,92,2,15,0.179,0.179,49
21.0,0.381,1.9,2.0,3.7,5.0,6.5,329,0.524,0.20800000000000002,368,0.45,0.18,0.22,-741,-11,-550,0.19,0.28600000000000003,7
27.0,0.63,3.6,4.6,3.0,6.3,7.9,407,0.728,0.29600000000000004,642,0.46,0.14,0.14,359,15,255,0.14800000000000002,0.37,16
34.0,0.5589999999999999,3.4,3.3,2.9,6.5,6.6,356,0.579,0.21100000000000002,408,0.4,0.14,0.14,-214,-6,-109,0.17600000000000002,0.265,19
54.0,0.63,3.6,2.4,2.3,5.9,6.9,360,0.6,0.19899999999999998,379,0.38,0.1,0.13,-19,-7,2,0.222,0.13,11
15.0,0.2,1.8,1.4,2.7,3.4,6.4,314,0.5479999999999999,0.185,283,0.36,0.12,0.13,-723,-13,-767,0.267,0.0,5
18.0,0.556,2.3,2.6,3.3,5.2,7.0,357,0.469,0.19899999999999998,413,0.45,0.09,0.12,-358,-9,-238,0.0,0.222,7
101.0,0.574,2.7,2.6,3.1,5.6,6.9,355,0.57,0.198,414,0.39,0.13,0.14,-156,-0,-48,0.198,0.139,28
