Games,Win Rate,KDA,Avg Kills,Avg Deaths,Avg Assists,CSM,GPM,KP%,DMG%,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB%,FB Victim,Penta Kills,Solo Kills
2,0.0,0.5,1.0,5.0,1.5,6.4,307,0.306,0.213,270,0.99,0.58,0.15,0.33,-140,-8,-194,0.0,0.0,0,1
59,0.6609999999999999,3.5,3.5,2.6,5.6,7.2,379,0.6459999999999999,0.239,460,0.95,0.38,0.19,0.14,384,6,265,0.373,0.102,0,18
18,0.389,2.1,2.0,3.2,4.7,7.6,371,0.622,0.217,399,1.2,0.5,0.15,0.22,-184,-3,-236,0.278,0.389,0,3
21,0.47600000000000003,3.4,3.1,2.9,6.7,6.9,361,0.596,0.217,399,0.98,0.53,0.15,0.24,-172,-6,54,0.33299999999999996,0.048,0,4
53,0.509,2.3,2.6,3.6,5.7,7.5,368,0.556,0.231,441,0.93,0.47,0.13,0.17,10,3,40,0.28300000000000003,0.151,0,21
8,0.125,0.8,1.9,6.0,3.1,6.6,327,0.488,0.24600000000000002,425,0.79,0.35,0.08,0.14,-562,3,-610,0.0,0.25,0,1
42,0.47600000000000003,3.3,2.5,2.2,4.7,7.8,381,0.5870000000000001,0.21899999999999997,420,1.03,0.45,0.18,0.15,47,4,279,0.071,0.095,0,12
61,0.525,2.6,2.1,2.6,4.8,7.3,367,0.5710000000000001,0.24,400,1.06,0.46,0.12,0.16,-255,-10,-203,0.295,0.131,0,15
13,0.462,2.6,2.2,2.8,5.3,7.5,364,0.601,0.21899999999999997,406,1.03,0.43,0.15,0.14,-383,-2,61,0.154,0.231,0,3
58,0.397,2.4,2.6,3.1,4.8,8.3,391,0.647,0.251,478,0.93,0.24,0.26,0.11,76,5,183,0.052000000000000005,0.121,0,4
24,0.583,3.1,2.2,2.7,6.3,6.5,337,0.578,0.168,318,0.99,0.48,0.13,0.17,-666,-18,-556,0.16699999999999998,0.083,0,3
1,0.0,1.3,1.0,3.0,3.0,6.9,314,0.8,0.332,462,1.06,0.46,0.2,0.2,-1907,-41,-564,0.0,0.0,0,0
48,0.667,4.2,2.5,2.1,6.5,7.4,377,0.579,0.223,446,0.76,0.37,0.1,0.08,16,3,181,0.10400000000000001,0.083,0,8
15,0.33299999999999996,2.3,2.4,3.7,6.1,6.5,342,0.6509999999999999,0.23,416,0.98,0.36,0.16,0.15,-163,0,-262,0.067,0.2,0,6
4,0.0,0.6,0.5,4.5,2.0,7.2,320,0.43200000000000005,0.235,319,0.63,0.31,0.12,0.06,-1322,-10,-618,0.25,0.0,0,0
50,0.78,6.1,3.9,1.8,7.0,7.7,403,0.613,0.23600000000000002,477,0.93,0.42,0.12,0.15,178,2,45,0.28,0.1,0,21
14,0.28600000000000003,1.3,1.9,3.6,2.6,7.0,331,0.37799999999999995,0.20600000000000002,301,0.85,0.4,0.15,0.14,-401,-13,-381,0.14300000000000002,0.14300000000000002,0,7
32,0.594,3.5,3.4,2.4,4.8,7.4,381,0.509,0.22699999999999998,436,1.06,0.51,0.17,0.22,403,2,205,0.25,0.063,0,17
32,0.43799999999999994,2.6,2.8,3.5,6.3,6.6,354,0.5660000000000001,0.213,444,0.85,0.35,0.08,0.16,-714,-18,-403,0.21899999999999997,0.156,0,17
1,0.0,1.3,3.0,3.0,1.0,7.1,352,0.5710000000000001,0.27699999999999997,367,1.08,0.43,0.13,0.36,172,-7,120,0.0,1.0,0,1
14,0.071,0.9,2.9,5.9,2.7,8.3,378,0.503,0.293,537,0.58,0.29,0.09,0.03,-644,0,-447,0.071,0.0,0,8
56,0.625,3.3,2.5,2.6,5.8,7.2,368,0.575,0.215,386,1.01,0.48,0.18,0.18,-416,-13,-309,0.071,0.018000000000000002,0,8
14,0.214,2.2,2.5,2.4,2.6,7.7,374,0.519,0.201,303,0.84,0.35,0.15,0.09,67,5,358,0.0,0.214,0,6
35,0.514,3.1,2.4,2.7,6.1,7.1,364,0.584,0.207,396,0.99,0.51,0.14,0.23,-420,-5,-259,0.057,0.14300000000000002,0,6
19,0.21100000000000002,1.6,1.5,3.6,4.4,6.5,328,0.479,0.18899999999999997,367,1.05,0.48,0.16,0.17,-631,-13,-316,0.105,0.053,0,2
6,0.0,0.8,2.3,5.5,2.0,7.5,350,0.361,0.16699999999999998,352,0.62,0.33,0.09,0.05,-1272,-15,-486,0.33299999999999996,0.0,0,4
12,0.16699999999999998,1.6,1.9,3.8,4.3,5.9,311,0.485,0.221,392,0.72,0.35,0.09,0.12,-647,-20,-610,0.25,0.083,0,2
23,0.7829999999999999,2.5,4.3,3.8,5.4,7.5,409,0.59,0.27,581,1.08,0.51,0.19,0.2,590,15,584,0.217,0.217,0,29
12,0.25,2.7,1.5,1.9,3.8,6.8,324,0.496,0.207,341,1,0.48,0.15,0.2,-547,-9,-296,0.0,0.0,0,3
24,0.25,2.1,2.8,3.8,5.2,6.5,338,0.519,0.17800000000000002,368,0.83,0.35,0.15,0.09,-358,-8,-174,0.083,0.16699999999999998,0,5
93,0.667,3.7,2.3,2.2,5.9,8.0,383,0.575,0.23600000000000002,439,1.12,0.51,0.2,0.2,156,6,217,0.161,0.204,0,26
18,0.611,3,1.8,2.8,6.6,6.7,344,0.507,0.182,357,0.84,0.46,0.11,0.19,-235,-12,-2,0.222,0.111,0,3
56,0.39299999999999996,2.1,4.2,4.0,4.1,7.9,391,0.6,0.263,517,0.99,0.44,0.18,0.17,-102,1,-142,0.179,0.179,0,43
51,0.451,2.2,1.9,2.6,3.8,8.2,373,0.561,0.24,430,1.11,0.5,0.21,0.18,-9,4,123,0.235,0.196,0,13
1,1.0,3.6,3.0,5.0,15.0,6.1,397,0.643,0.185,532,0.69,0.36,0.07,0.07,-1771,-78,-3131,0.0,0.0,0,0
24,0.792,3.9,4.0,2.3,5.2,8.7,432,0.638,0.276,518,1.03,0.47,0.16,0.16,701,20,640,0.33299999999999996,0.20800000000000002,0,14
40,0.4,1.6,2.2,4.0,4.3,6.9,346,0.499,0.215,395,0.88,0.48,0.09,0.22,-228,-5,-228,0.275,0.175,0,15
34,0.324,1.9,2.2,3.4,4.1,6.7,334,0.5329999999999999,0.212,359,0.93,0.46,0.15,0.17,-543,-14,-394,0.294,0.147,0,6
