Games,Win Rate,KDA,Avg Kills,Avg Deaths,Avg Assists,CSM,GPM,KP%,DMG%,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB%,FB Victim,Solo Kills
16,0.375,2.9,3.1,2.4,3.8,7.8,363,0.7759999999999999,0.335,522,1.14,0.5,0.24,0.17,35,0,43,0.25,0.125,3
47,0.34,1.8,1.8,3.6,4.9,8.2,364,0.64,0.261,438,0.96,0.4,0.23,0.16,-43,3,2,0.106,0.27699999999999997,2
16,0.5,2.7,2.4,2.3,3.8,7.4,352,0.441,0.193,321,0.88,0.38,0.13,0.15,-21,-3,231,0.25,0.188,7
31,0.29,2.9,2.1,2.2,4.2,8.4,372,0.745,0.266,400,1.15,0.57,0.21,0.26,262,7,243,0.226,0.09699999999999999,5
49,0.429,2.9,3.3,2.5,3.9,8.2,380,0.611,0.252,426,0.87,0.38,0.15,0.17,-423,-10,-327,0.122,0.102,18
38,0.5529999999999999,2.9,3.3,3.2,5.9,8.4,396,0.675,0.255,505,1.11,0.43,0.17,0.15,19,-3,-212,0.263,0.158,17
37,0.324,3.0,2.4,2.5,5.1,8.5,377,0.6829999999999999,0.23800000000000002,436,1.15,0.44,0.27,0.28,-61,3,57,0.10800000000000001,0.081,4
15,0.2,3.1,3.4,2.1,3.1,8.6,387,0.5529999999999999,0.244,436,0.82,0.4,0.16,0.17,-375,-3,-458,0.133,0.0,5
47,0.532,3.4,3.8,2.9,6.3,7.8,385,0.649,0.25,518,1.19,0.56,0.22,0.27,-146,3,77,0.128,0.128,13
41,0.415,2.5,2.6,2.7,4.3,8.2,377,0.6579999999999999,0.265,485,1.21,0.55,0.23,0.22,-153,0,-113,0.22,0.146,7
30,0.16699999999999998,1.7,2.9,4.1,3.9,8.7,384,0.66,0.317,499,0.93,0.44,0.15,0.19,-465,2,-182,0.1,0.233,5
67,0.597,3.9,3.4,2.2,5.3,8.8,402,0.64,0.259,478,1.05,0.44,0.21,0.2,272,9,149,0.209,0.075,26
30,0.6,4.0,5.2,2.5,4.9,9.0,427,0.6709999999999999,0.304,606,1.04,0.37,0.23,0.2,442,8,264,0.33299999999999996,0.033,17
27,0.444,3.0,3.9,2.8,4.5,8.7,411,0.653,0.31,569,1.17,0.46,0.22,0.19,86,-1,-79,0.111,0.07400000000000001,14
12,0.16699999999999998,1.4,2.8,4.7,3.6,7.2,346,0.583,0.265,486,0.7,0.32,0.1,0.08,-690,-3,-260,0.0,0.083,1
31,0.5479999999999999,3.6,4.2,3.0,6.5,8.4,406,0.648,0.27899999999999997,569,0.9,0.37,0.14,0.13,325,8,-25,0.258,0.09699999999999999,16
69,0.507,2.8,3.4,3.2,5.5,8.8,411,0.644,0.278,534,0.98,0.44,0.18,0.15,26,3,42,0.23199999999999998,0.13,25
48,0.41700000000000004,4.2,2.3,1.8,5.2,8.2,375,0.705,0.254,457,1.14,0.55,0.22,0.26,-190,-11,-344,0.271,0.083,7
38,0.368,2.9,2.9,2.4,4.1,8.0,372,0.7190000000000001,0.304,507,1.11,0.52,0.16,0.21,-184,-7,-127,0.184,0.105,12
12,0.25,2.5,4.3,3.8,5.5,7.7,390,0.645,0.26899999999999996,520,0.96,0.34,0.16,0.08,324,-1,317,0.25,0.083,13
18,0.222,1.7,1.9,2.9,3.1,8.3,371,0.626,0.266,428,1.03,0.41,0.23,0.16,-264,-3,-192,0.111,0.222,7
60,0.6,5.5,3.4,1.6,5.1,9.1,416,0.706,0.278,498,0.98,0.37,0.2,0.16,192,6,204,0.16699999999999998,0.05,18
20,0.15,1.7,2.4,3.6,3.8,8.2,365,0.625,0.264,422,1.04,0.54,0.17,0.25,-203,-3,-206,0.1,0.15,3
24,0.542,2.7,3.0,3.0,5.0,7.1,348,0.6409999999999999,0.237,431,1.17,0.52,0.24,0.2,-404,-10,-37,0.125,0.20800000000000002,4
41,0.512,2.8,3.3,2.7,4.2,9.0,413,0.682,0.266,503,0.92,0.44,0.14,0.18,140,2,188,0.39,0.122,21
21,0.524,3.5,3.0,2.2,4.7,8.3,388,0.6779999999999999,0.25,417,1.01,0.42,0.18,0.17,-399,-8,-45,0.19,0.048,8
36,0.361,2.3,3.0,3.3,4.6,7.8,370,0.636,0.24100000000000002,422,0.99,0.49,0.15,0.21,-428,-6,-395,0.16699999999999998,0.111,4
96,0.6559999999999999,3.8,3.3,2.6,6.5,8.5,401,0.625,0.251,494,1.11,0.43,0.24,0.2,-5,3,44,0.188,0.073,31
18,0.33299999999999996,1.5,2.1,3.8,3.8,6.8,321,0.502,0.20600000000000002,327,0.89,0.47,0.11,0.28,-533,-13,-352,0.16699999999999998,0.222,0
26,0.192,2.3,2.1,2.5,3.8,8.3,357,0.595,0.251,447,1.18,0.59,0.24,0.28,-219,-5,-292,0.115,0.077,3
28,0.25,1.5,2.8,4.4,3.8,7.8,356,0.637,0.27699999999999997,450,1.07,0.49,0.21,0.27,-361,-10,-566,0.321,0.107,15
20,0.65,4.5,3.2,1.7,4.6,8.5,395,0.644,0.217,421,1.09,0.44,0.22,0.2,-249,-2,-124,0.1,0.05,2
17,0.41200000000000003,1.5,2.5,4.7,4.6,7.2,353,0.593,0.258,496,1.35,0.53,0.25,0.25,-626,-8,-325,0.11800000000000001,0.294,8
129,0.667,6.0,5.0,1.9,6.1,8.9,433,0.731,0.28300000000000003,599,1.11,0.34,0.27,0.15,427,9,307,0.11599999999999999,0.023,30
44,0.636,5.4,3.9,2.1,7.3,8.9,420,0.7020000000000001,0.258,547,0.88,0.36,0.19,0.14,365,3,192,0.22699999999999998,0.114,8
18,0.444,3.9,2.2,1.9,5.3,8.5,378,0.589,0.23,391,1.13,0.47,0.21,0.24,32,6,408,0.16699999999999998,0.0,2
34,0.265,3.7,4.7,2.5,4.6,8.2,396,0.706,0.275,513,1.3,0.58,0.22,0.29,12,-3,10,0.20600000000000002,0.11800000000000001,18
26,0.5,3.9,3.8,2.5,6.0,7.9,378,0.6990000000000001,0.27,494,1.04,0.46,0.14,0.18,-385,-8,-318,0.115,0.154,7
22,0.455,5.6,3.7,1.4,4.2,8.8,399,0.685,0.28800000000000003,464,1.07,0.45,0.21,0.21,93,-4,36,0.22699999999999998,0.091,4
91,0.527,4.4,3.2,1.8,4.8,8.7,398,0.6509999999999999,0.262,475,1.25,0.52,0.29,0.25,97,6,-18,0.14300000000000002,0.08800000000000001,21
35,0.371,2.6,4.8,3.9,5.3,7.6,388,0.624,0.281,568,0.87,0.35,0.19,0.19,-12,-7,-149,0.2,0.057,30
24,0.542,3.6,3.3,2.1,4.4,8.7,397,0.602,0.276,544,0.97,0.5,0.1,0.19,54,0,-149,0.083,0.0,15
61,0.525,4.3,3.7,1.8,4.0,9.1,414,0.642,0.281,482,0.86,0.35,0.17,0.1,262,6,178,0.19699999999999998,0.066,17
20,0.15,2.0,1.8,2.8,3.6,7.9,348,0.644,0.264,455,1.03,0.48,0.23,0.24,-406,-9,-188,0.05,0.05,0
15,0.2,1.9,2.2,3.3,4.1,8.0,353,0.6920000000000001,0.237,401,0.9,0.46,0.13,0.21,-437,-9,-254,0.133,0.0,1
24,0.583,4.1,3.3,1.9,4.5,9.1,410,0.6809999999999999,0.302,530,1.28,0.45,0.3,0.21,459,7,311,0.20800000000000002,0.0,7
85,0.6709999999999999,3.7,5.3,2.8,5.0,9.1,445,0.6409999999999999,0.27399999999999997,581,0.89,0.32,0.14,0.11,635,16,587,0.259,0.11800000000000001,66
21,0.19,1.4,2.0,3.5,2.8,6.7,330,0.514,0.235,362,0.84,0.39,0.12,0.13,-775,-15,-567,0.14300000000000002,0.19,6
12,0.25,2.0,3.8,3.8,3.8,8.4,388,0.5529999999999999,0.26,522,1.1,0.45,0.19,0.14,-475,-15,-614,0.16699999999999998,0.083,5
41,0.366,4.4,3.0,1.8,4.7,9.2,408,0.695,0.28600000000000003,515,1.28,0.56,0.25,0.27,-19,3,25,0.195,0.049,11
12,0.583,3.2,4.5,3.2,5.5,9.3,424,0.593,0.295,644,0.84,0.35,0.18,0.1,19,6,-29,0.083,0.16699999999999998,2
30,0.4,2.8,3.3,3.0,5.3,7.5,363,0.716,0.248,417,1.17,0.54,0.21,0.25,-115,-3,-172,0.3,0.133,8
81,0.37,3.7,2.9,2.1,4.7,7.9,370,0.682,0.276,502,0.98,0.5,0.2,0.18,-175,-3,-209,0.07400000000000001,0.0,8
11,0.636,3.2,3.9,3.0,5.5,8.1,400,0.578,0.28,552,0.98,0.42,0.2,0.1,317,7,-8,0.182,0.091,3
27,0.519,3.5,2.7,2.1,4.4,9.1,403,0.667,0.289,509,1.22,0.33,0.35,0.12,268,7,271,0.185,0.0,12
84,0.667,5.7,3.9,1.8,6.5,8.2,405,0.638,0.262,546,0.91,0.41,0.15,0.16,327,1,186,0.23800000000000002,0.048,19
51,0.235,1.9,2.4,3.0,3.5,8.2,366,0.684,0.251,413,1.09,0.5,0.26,0.23,-378,-8,-366,0.314,0.059000000000000004,17
18,0.389,4.0,3.1,1.9,4.4,9.5,415,0.693,0.29100000000000004,471,1.27,0.51,0.28,0.24,-254,-6,-26,0.16699999999999998,0.16699999999999998,1
47,0.426,3.7,4.3,2.5,5.1,8.8,413,0.735,0.301,591,1.17,0.46,0.26,0.16,-93,-4,61,0.255,0.149,22
20,0.45,2.9,3.8,3.0,4.9,7.7,369,0.597,0.24600000000000002,434,0.83,0.37,0.16,0.18,-156,-11,-232,0.25,0.0,4
28,0.25,2.0,2.2,3.1,4.1,8.3,365,0.5820000000000001,0.235,394,0.96,0.52,0.18,0.25,-547,-13,-305,0.214,0.071,6
83,0.6629999999999999,4.5,3.5,2.0,5.3,8.8,413,0.65,0.29,568,0.97,0.39,0.23,0.14,340,11,400,0.145,0.096,19
70,0.457,2.9,3.0,2.8,4.9,7.7,373,0.679,0.285,483,0.86,0.32,0.17,0.16,28,-4,-69,0.243,0.043,10
20,0.35,2.4,2.8,3.1,4.5,8.1,369,0.685,0.26899999999999996,463,1.1,0.3,0.31,0.13,-222,-3,62,0.05,0.2,4
45,0.444,2.8,4.3,3.1,4.5,7.9,395,0.623,0.24600000000000002,491,0.84,0.34,0.16,0.17,-10,-2,-44,0.2,0.08900000000000001,16
38,0.42100000000000004,4.4,3.6,1.7,4.1,9.4,427,0.625,0.262,460,1.17,0.44,0.28,0.19,117,0,264,0.263,0.026000000000000002,9
45,0.37799999999999995,3.2,2.6,2.2,4.4,8.0,365,0.551,0.255,458,1.01,0.5,0.15,0.21,-258,4,77,0.067,0.067,15
